X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
275.862,197.044,147.783,211.823,24.631,39.409,103.448,217.089,1.168.647,103.448,93.596,418.719,8.512,2.314,56.156,920.842,5.799,326.257,104.26
328.125,15.625,46.875,53.125,3.125,0,46.875,401.917,464.298,46.875,15.625,78.125,17.859,0,23.612,969.719,0,426.181,7.026
159.236,11.465,44.586,56.051,6.369,44.586,70.064,282.097,953.821,10.828,50.955,343.949,10.977,5.597,20.573,964.519,3.681,805.388,41.43
225.641,271.795,169.231,30.769,35.897,51.282,215.385,512.524,720.134,117.949,10.256,215.385,434,8.475,23.297,850.081,229,801.605,23.954
167.832,38.462,83.916,440.559,55.944,6.993,206.294,486.817,641.307,38.462,24.476,454.545,501,37.284,45.669,935.533,99,464.406,73.455
58.952,78.603,52.402,213.974,4.367,34.934,26.201,445.987,634.753,65.502,0,48.035,336,0,15.144,915.842,1.577,673.511,35.687
254.098,131.148,139.344,90.164,7.377,65.574,245.902,160.376,508.943,131.148,8.197,106.557,1.766,0,49.909,810.005,3.457,763.158,18.076
181.818,85.561,69.519,438.503,32.086,32.086,160.428,368.987,440.698,245.989,85.561,454.545,1.247,27.511,14.156,945.057,0,879.739,33.292
777.778,155.556,0,0,0,22.222,44.444,339.755,531.231,22.222,22.222,111.111,0,0,98.497,883.085,0,17.393,7.399
571.429,55.556,134.921,126.984,7.937,2.381,79.365,436.972,924.519,15.873,0,380.952,0,0,10.988,985.739,0,918.856,20.348
65.789,184.211,171.053,157.895,157.895,39.474,223.684,341.068,814.254,26.316,0,144.737,215,0,33.251,911.292,0,931.305,12.871
360.465,232.558,116.279,116.279,11.628,34.884,127.907,384.902,759.178,69.767,11.628,93.023,38.941,0,38.266,782.531,157.232,608.157,11.713
351.852,117.284,92.593,364.198,6.173,12.346,55.556,303.653,499.002,61.728,37.037,30.864,21.573,6.039,11.491,959.538,0,89.313,37.916
872.247,17.621,4.405,70.485,0,4.405,30.837,450.201,772.892,70.485,17.621,136.564,25.777,38.807,8.211,858.562,0,325.405,46.745
375,0,0,375,0,0.25,0,503.214,452.222,125,375,375,0,0,3.605,95.821,0,908.883,1.714
101.449,0,14.493,26.087,14.493,86.957,521.739,358.318,710.584,217.391,101.449,72.464,0,0,16.642,883.333,77.199,255.933,11.57
38.961,51.948,220.779,12.987,0,12.987,194.805,16.472,595.956,155.844,0,38.961,531,6.044,8.344,803.689,0,954.364,10.557
625,0,625,625,0,0,8.125,34.652,634.264,1.875,625,0.5,0,114.163,24.154,971.393,0,59.279,4.646
313.953,34.884,46.512,406.977,11.628,23.256,162.791,423.388,697.882,81.395,232.558,418.605,2.906,3.398,20.855,978.324,0,940.818,46.435
